"M&MFIN

























































",NSE,Mahindra and Mahindra Financial Svcs Ltd
"M&M
























































",NSE,Mahindra And Mahindra Ltd
"MANAPPURAM

























































",NSE,Manappuram Finance Ltd
"MARICO






















",NSE,Marico Ltd
"MARUTI






















",NSE,Maruti Suzuki India Ltd
"MFSL


























































",NSE,Max Financial Services Ltd
"MAXHEALTH
",NSE,Max Healthcare Institute Ltd
"METROPOLIS


























































",NSE,Metropolis Healthcare Ltd
"MPHASIS






















",NSE,Mphasis Ltd
"MRF



























































",NSE,MRF Ltd
"MCX


























































",NSE,Multi Commodity Exchange Of India Ltd
"MUTHOOTFIN




























































",NSE,Muthoot Finance Ltd
"NATIONALUM





























































",NSE,National Aluminium Co Ltd
"NAVINFLUOR






























































",NSE,Navin Fluorine International Limited
NCC,NSE,NCC Ltd
"NESTLEIND






















",NSE,Nestle India Ltd
NHPC,NSE,NHPC Ltd
"NMDC






















",NSE,NMDC Ltd
"NTPC






















",NSE,NTPC Ltd
"OBEROIRLTY






























































",NSE,Oberoi Realty Ltd
"ONGC






















",NSE,Oil and Natural Gas Corporation Ltd
OIL,NSE,Oil India Ltd
PAYTM,NSE,One 97 Communications Ltd
"OFSS






















",NSE,Oracle Financial Services Software Ltd
"PAGEIND






























































",NSE,Page Industries Ltd
POLICYBZR,NSE,PB Fintech Ltd
"PERSISTENT
































































",NSE,Persistent Systems Ltd
"PIIND
































































",NSE,PI Industries Ltd
"PIDILITIND































































",NSE,Pidilite Industries Ltd
"PEL






























































",NSE,Piramal Enterprises Ltd
"POLYCAB

































































",NSE,Polycab India Ltd
POONAWALLA,NSE,Poonawalla Fincorp Ltd
"PFC






















",NSE,Power Finance Corporation Ltd
"POWERGRID


































































",NSE,Power Grid Corporation of India Ltd
PRESTIGE,NSE,Prestige Estates Projects Limited
"PNB

































































",NSE,Punjab National Bank
"PVRINOX


































































",NSE,PVR INOX Ltd
"RAMCOCEM


































































",NSE,Ramco Cements Limited
"RBLBANK


































































",NSE,RBL Bank Ltd
"RECLTD


































































",NSE,REC Limited
"RELIANCE


































































",NSE,Reliance Industries Ltd
"SBICARD



































































",NSE,SBI Cards and Payment Services Ltd
"SBILIFE




































































",NSE,Sbi Life Insurance Company Ltd
"SHREECEM






















",NSE,Shree Cement Ltd
"SHRIRAMFIN




































































",NSE,Shriram Finance Ltd
"SIEMENS 






















",NSE,Siemens Ltd
SJVN,NSE,SJVN Ltd
SONACOMS,NSE,Sona Blw Precision Forgings Ltd
"SRF





































































",NSE,SRF Ltd
"SBIN






















",NSE,State Bank of India
"SAIL



































































",NSE,Steel Authority of India Ltd
"SUNPHARMA





































































",NSE,Sun Pharmaceutical Industries Ltd
"SUNTV






































































",NSE,Sun Tv Network Ltd
SUPREMEIND,NSE,Supreme Industries Ltd
"SYNGENE







































































",NSE,Syngene International Ltd
"TATACHEM








































































",NSE,Tata Chemicals Ltd
"TATACOMM








































































",NSE,Tata Communications Ltd
"TCS









































































",NSE,Tata Consultancy Services Ltd
"TATACONSUM








































































",NSE,Tata Consumer Products Ltd
TATAELXSI,NSE,Tata Elxsi Ltd
"TATAMOTORS








































































",NSE,Tata Motors Ltd
"TATAPOWER








































































",NSE,Tata Power Company Ltd
"TATASTEEL









































































",NSE,Tata Steel Ltd
"TECHM










































































",NSE,Tech Mahindra Ltd
"TITAN










































































",NSE,Titan Company Ltd
"TORNTPHARM






















",NSE,Torrent Pharmaceuticals Ltd
"TRENT











































































",NSE,Trent Ltd
TIINDIA,NSE,Tube Investments of India Ltd
"TVSMOTOR






















",NSE,TVS Motor Company Ltd
"ULTRACEMCO











































































",NSE,UltraTech Cement Ltd
UNIONBANK,NSE,Union Bank of India Ltd
"UBL






















",NSE,United Breweries Ltd
"UNITDSPR























",NSE,United Spirits Ltd
VBL,NSE,Varun Beverages Ltd
"VEDL






















",NSE,Vedanta Ltd
"IDEA
















































",NSE,Vodafone Idea Ltd
"VOLTAS











































































",NSE,Voltas Ltd
"WIPRO











































































",NSE,Wipro Ltd
YESBANK,NSE,Yes Bank Ltd
ZOMATO,NSE,Zomato Ltd
"ZYDUSLIFE






















",NSE,Zydus Lifesciences Ltd
